--- source : https://socket.dev/blog/antv-packages-compromised#Affected-Packages ---

@uipath/packager-tool-webapp (v1.0.6)
@uipath/packager-tool-workflowcompiler (v0.0.16)
@uipath/packager-tool-workflowcompiler-browser (v0.0.34)
@uipath/platform-tool (v1.0.1)
@uipath/project-packager (v1.1.16)
@uipath/resource-tool (v1.0.1)
@uipath/resourcecatalog-tool (v0.1.1)
@uipath/resources-tool (v0.1.11)
@uipath/robot (v1.3.4)
@uipath/rpa-legacy-tool (v1.0.1)
@uipath/rpa-tool (v0.9.5)
@uipath/solution-packager (v0.0.35)
@uipath/solution-tool (v1.0.1)
@uipath/solutionpackager-sdk (v1.0.11)
@uipath/solutionpackager-tool-core (v0.0.34)
@uipath/tasks-tool (v1.0.1)
@uipath/telemetry (v0.0.7)
@uipath/test-manager-tool (v1.0.2)
@uipath/tool-workflowcompiler (v0.0.12)
@uipath/traces-tool (v1.0.1)
@uipath/ui-widgets-multi-file-upload (v1.0.1)
@uipath/uipath-python-bridge (v1.0.1)
@uipath/vertical-solutions-tool (v1.0.1)
@uipath/vss (v0.1.6)
@uipath/widget.sdk (v1.2.3)
agentwork-cli (v0.1.4, v0.1.5)
ai-figure (v0.5.0, v0.6.0)
amapcn (v0.2.2, v0.3.2)
ast-plugin (v0.1.7, v0.2.7)
babel-plugin-version (v0.3.3, v0.4.3)
boring-avatars-vanilla (v1.1.2, v1.2.2)
byte-parser (v1.1.0, v1.2.0)
canvas-nest.js (v2.1.4, v2.2.4)
cmux-agent-mcp (v0.1.3, v0.1.4, v0.1.5, v0.1.6, v0.1.7, v0.1.8)
cross-stitch (v1.1.3, v1.1.4, v1.1.5, v1.1.6, v1.1.7)
echarts-for-react (v3.1.7, v3.2.7)
filesize.js (v2.1.0, v2.2.0)
fixed-round (v1.1.2, v1.2.2)
gantt-for-react (v0.3.0, v0.4.0)
git-branch-selector (v1.3.3, v1.3.4, v1.3.5, v1.3.6, v1.3.7)
git-git-git (v1.0.10, v1.0.11, v1.0.12, v1.0.8, v1.0.9)
intercom-client (v7.0.4)
jest-canvas-mock (v2.6.3, v2.7.3)
